2018-07-18 14:47:56,076 - EXPERIMENT ([0, 80, 0.31, 0.02, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.01],)
2018-07-18 14:47:56,083 - EXPERIMENT ([0, 81, -0.13, 0.08, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.26],)
2018-07-18 14:47:56,091 - EXPERIMENT ([0, 82, 0.57, 0.19, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.12],)
2018-07-18 14:47:56,096 - EXPERIMENT ([0, 83, 0.65, 0.4, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.17],)
2018-07-18 14:47:56,100 - EXPERIMENT ([0, 84, 0.53, 0.03, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.38],)
2018-07-18 14:47:56,106 - EXPERIMENT ([0, 85, 0.03, 0.42, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.02],)
2018-07-18 14:47:56,110 - EXPERIMENT ([0, 86, -0.05, 0.12, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.27],)
2018-07-18 14:47:56,115 - EXPERIMENT ([0, 87, 0.35, 0.44, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.23],)
2018-07-18 14:47:56,121 - EXPERIMENT ([0, 88, -0.04, 0.07, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.35],)
2018-07-18 14:47:56,125 - EXPERIMENT ([0, 89, 0.24, 0.06, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.26],)
2018-07-18 14:47:56,130 - EXPERIMENT ([0, 90, -0.11, 0.32, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.1],)
2018-07-18 14:47:56,134 - EXPERIMENT ([0, 91, 0.55, 0.29, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.25],)
2018-07-18 14:47:56,139 - EXPERIMENT ([0, 92, 0.18, 0.31, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.14],)
2018-07-18 14:47:56,144 - EXPERIMENT ([0, 93, 0.2, 0.48, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.27],)
2018-07-18 14:47:56,148 - EXPERIMENT ([0, 94, 0.29, 0.4, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.08],)
2018-07-18 14:47:56,155 - EXPERIMENT ([0, 95, 0.1, 0.09, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.08],)
2018-07-18 14:47:56,159 - EXPERIMENT ([0, 96, 0.41, 0.48, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.36],)
2018-07-18 14:47:56,165 - EXPERIMENT ([0, 97, 0.31, 0.2, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.25],)
2018-07-18 14:47:56,169 - EXPERIMENT ([0, 98, 0.02, 0.0, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.11],)
2018-07-18 14:47:56,173 - EXPERIMENT ([0, 99, 0.2, 0.39, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.16],)
2018-07-18 14:47:56,178 - EXPERIMENT ([0, 100, 0.55, 0.43, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.09],)
2018-07-18 14:47:56,183 - EXPERIMENT ([1, 1, 0.1, 0.4, ['A_1', 'A_2', 'A_3', 'B_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.37],)
2018-07-18 14:47:56,192 - EXPERIMENT ([1, 2, 0.08, 0.25, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.0],)
2018-07-18 14:47:56,201 - EXPERIMENT ([1, 3, 0.19, 0.25, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.13],)
2018-07-18 14:47:56,210 - EXPERIMENT ([1, 4, 0.5, 0.31, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.28],)
2018-07-18 14:47:56,218 - EXPERIMENT ([1, 5, -0.14, 0.13, ['A_1', 'A_2', 'A_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.26],)
2018-07-18 14:47:56,224 - EXPERIMENT ([1, 6, 0.51, 0.41, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.13],)
2018-07-18 14:47:56,231 - EXPERIMENT ([1, 7, 0.26, 0.31, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.22],)
2018-07-18 14:47:56,238 - EXPERIMENT ([1, 8, 0.12, 0.4, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.24],)
2018-07-18 14:47:56,246 - EXPERIMENT ([1, 9, 0.52, 0.17, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.12],)
2018-07-18 14:47:56,255 - EXPERIMENT ([1, 10, 0.38, 0.42, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.09],)
2018-07-18 14:47:56,262 - EXPERIMENT ([1, 11, 0.18, 0.25, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.03],)
2018-07-18 14:47:56,268 - EXPERIMENT ([1, 12, -0.09, 0.41, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.03],)
2018-07-18 14:47:56,275 - EXPERIMENT ([1, 13, 0.57, 0.5, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.33],)
2018-07-18 14:47:56,282 - EXPERIMENT ([1, 14, -0.07, 0.32, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.2],)
2018-07-18 14:47:56,290 - EXPERIMENT ([1, 15, -0.15, 0.32, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.26],)
2018-07-18 14:47:56,296 - EXPERIMENT ([1, 16, 0.15, 0.34, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.04],)
2018-07-18 14:47:56,300 - EXPERIMENT ([1, 17, 0.48, 0.07, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.23],)
2018-07-18 14:47:56,306 - EXPERIMENT ([1, 18, 0.0, 0.34, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.1],)
2018-07-18 14:47:56,311 - EXPERIMENT ([1, 19, 0.25, 0.29, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.37],)
2018-07-18 14:47:56,317 - EXPERIMENT ([1, 20, -0.06, 0.19, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.03],)
2018-07-18 14:47:56,322 - EXPERIMENT ([1, 21, 0.04, 0.4, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.17],)
2018-07-18 14:47:56,328 - EXPERIMENT ([1, 22, 0.17, 0.38, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.39],)
2018-07-18 14:47:56,332 - EXPERIMENT ([1, 23, 0.26, 0.12, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.07],)
2018-07-18 14:47:56,337 - EXPERIMENT ([1, 24, 0.37, 0.17, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.25],)
2018-07-18 14:47:56,341 - EXPERIMENT ([1, 25, 0.04, 0.45, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.37],)
2018-07-18 14:47:56,346 - EXPERIMENT ([1, 26, -0.1, 0.07, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.34],)
2018-07-18 14:47:56,351 - EXPERIMENT ([1, 27, 0.04, 0.09, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.08],)
2018-07-18 14:47:56,356 - EXPERIMENT ([1, 28, 0.09, 0.48, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.06],)
